Kepler ID,RA (J2000),Dec (J2000)
1160684,19 23 24.662,+36 52 08.98
1572802,19 25 10.997,+37 09 21.10
1721911,19 26 28.961,+37 13 38.21
1866535,19 24 06.523,+37 21 07.52
1873543,19 30 20.297,+37 23 43.69
2164791,19 29 42.569,+37 33 21.67
2301872,19 24 50.998,+37 37 01.38
2302851,19 25 41.858,+37 37 49.08
2692704,19 03 06.098,+37 55 22.08
2692772,19 03 10.872,+37 56 32.53
2832720,19 04 11.258,+38 05 18.20
2992668,19 28 21.132,+38 07 07.07
3115879,19 25 10.066,+38 13 40.94
3323808,19 02 10.548,+38 27 32.08
3344747,19 28 18.118,+38 28 22.44
3426367,19 03 42.936,+38 31 15.53
3438817,19 20 18.269,+38 30 25.45
3439791,19 21 22.042,+38 32 52.01
3449953,19 32 07.531,+38 31 06.67
3454793,19 36 49.431,+38 31 47.50
3550668,19 31 54.818,+38 40 13.87
3561148,19 41 44.736,+38 39 40.46
3748918,19 27 47.978,+38 51 53.89
3940072,19 07 47.726,+39 01 52.54
3946894,19 17 21.799,+39 02 01.79
3957292,19 29 11.655,+39 02 26.59
4043389,19 09 31.709,+39 10 51.53
4078175,19 45 56.218,+39 11 27.78
4142890,19 09 17.350,+39 16 53.33
4142913,19 09 19.160,+39 12 03.82
4148125,19 16 12.929,+39 14 17.34
4254223,19 17 20.587,+39 19 54.52
4367215,19 28 46.162,+39 26 07.40
4381741,19 42 30.096,+39 27 00.50
4470937,19 33 39.441,+39 31 36.75
4471819,19 34 33.886,+39 35 26.41
4489051,19 49 36.771,+39 34 36.77
4551429,19 14 45.751,+39 39 40.75
4648234,19 19 15.564,+39 43 55.02
4655612,19 27 53.184,+39 42 37.55
4725681,18 55 27.931,+39 53 53.09
4735754,19 13 27.591,+39 49 45.55
4743351,19 23 03.574,+39 50 23.82
4758595,19 39 58.867,+39 50 53.02
4770707,19 49 58.241,+39 52 11.68
4904647,18 59 27.874,+40 01 30.00
4913852,19 15 14.882,+40 02 00.24
4918333,19 20 31.812,+40 05 30.23
4929016,19 33 06.919,+40 05 06.61
5027715,19 43 57.014,+40 06 49.03
5080636,19 00 03.141,+40 13 14.70
5096204,19 23 26.986,+40 17 30.05
5177193,19 15 23.779,+40 18 14.40
5206997,19 47 10.298,+40 20 28.52
5210507,19 50 02.232,+40 23 57.52
5266549,19 16 51.547,+40 25 38.42
5268904,19 19 46.142,+40 28 24.82
5273487,19 25 23.122,+40 29 50.60
5364071,19 29 10.702,+40 35 30.44
5384713,19 49 43.010,+40 33 42.88
5445367,19 23 22.733,+40 37 19.60
5461756,19 42 00.338,+40 38 30.23
5531953,19 25 08.400,+40 43 48.18
5597604,18 52 59.690,+40 52 32.95
5601258,19 00 20.770,+40 53 56.40
5602310,19 02 22.990,+40 52 21.61
5696918,19 16 17.717,+40 58 39.11
5739251,19 59 18.290,+40 54 30.06
5791720,19 28 17.825,+41 04 12.29
5794240,19 31 29.496,+41 03 51.37
5869314,19 18 11.203,+41 10 48.43
5895919,19 48 16.193,+41 08 14.71
5951140,19 15 33.235,+41 14 48.26
5953138,19 18 00.605,+41 14 23.14
5956957,19 22 51.262,+41 13 16.54
5966921,19 35 23.407,+41 17 33.25
6019923,18 50 16.697,+41 20 48.66
6038882,19 22 31.049,+41 20 22.52
6049470,19 35 51.416,+41 19 07.69
6099785,18 48 52.915,+41 28 29.75
6125019,19 29 08.554,+41 29 48.95
6183511,18 53 36.468,+41 30 58.79
6205405,19 27 52.039,+41 32 59.10
6224062,19 47 54.802,+41 35 30.23
6310128,19 53 28.716,+41 40 26.69
6345835,18 58 26.915,+41 47 32.47
6368045,19 32 27.730,+41 43 52.18
6382217,19 47 25.591,+41 45 29.45
6435936,19 18 02.038,+41 48 43.63
6436291,19 18 30.605,+41 53 03.08
6526930,19 32 58.805,+41 56 41.78
6548898,19 54 30.478,+41 58 49.30
6611875,19 33 59.165,+42 03 35.78
6620003,19 42 29.330,+42 05 34.37
6705695,19 42 13.013,+42 11 15.86
6715960,19 51 18.410,+42 10 45.77
6783369,19 34 16.234,+42 16 49.40
6790075,19 41 16.915,+42 15 48.82
6863726,19 28 05.203,+42 18 55.12
7049465,19 44 28.277,+42 32 08.77
7105834,19 11 20.947,+42 38 47.47
7117293,19 26 33.835,+42 39 32.80
7131359,19 42 23.501,+42 37 08.98
7289416,19 36 09.533,+42 49 50.38
7335104,18 42 09.504,+42 59 28.79
7417813,18 45 32.410,+43 00 48.20
7455287,19 39 05.746,+43 03 22.68
7465605,19 48 33.672,+43 04 26.36
7603200,19 21 31.563,+43 17 34.76
7677767,19 20 44.333,+43 23 29.15
7692454,19 40 02.986,+43 19 35.26
7741987,19 09 51.345,+43 24 03.49
7744840,19 15 08.642,+43 24 43.74
7812368,19 12 29.385,+43 30 39.02
7871438,18 51 27.312,+43 40 28.27
7906865,19 47 20.314,+43 39 03.71
7907119,19 47 37.423,+43 40 57.11
7907423,19 47 56.414,+43 39 30.67
7938787,18 48 29.189,+43 46 12.47
7949846,19 11 33.439,+43 46 13.26
7987934,19 59 27.979,+43 42 38.27
8007234,18 47 27.012,+43 48 01.12
8042251,19 44 59.770,+43 52 55.67
8093473,19 21 28.476,+43 55 45.62
8120608,19 54 36.653,+43 57 18.07
8143903,18 46 15.751,+44 00 13.43
8167996,19 30 34.167,+44 05 15.61
8196449,20 02 49.059,+44 00 40.46
8229458,19 21 44.167,+44 06 27.54
8350612,19 00 05.976,+44 21 03.46
8416220,19 00 57.662,+44 28 27.91
8421129,19 11 27.161,+44 24 17.17
8505485,19 42 05.155,+44 30 02.84
8507979,19 45 14.275,+44 34 29.53
8565204,19 35 26.633,+44 37 18.34
